Bill of Material for ,,,,
On 14-02-2018 at 16:00:47,,,,
,,,,
Comment,Pattern,Quantity,Components,
,,,,
,HDR1X8,1,conector placas,"Header, 8-Pin"
1000uf,F,1,C26,"Solid Aluminum Capacitor with Organic Semiconductor Electrolyte: 100uF, 16V, Bulk Pack"
100uF,94SP-C',8,"C22, C23, C27, C30, C31, C32, C33, C34","Solid Aluminum Capacitor with Organic Semiconductor Electrolyte: 10uF, 25V, Bulk Pack"
10uF,PCBComponent_1 - duplicate,1,C24,CAP ALUM 0.1UF 20% 50V SMD
220uF,PCBComponent_1,14,"C4, C5, C6, C7, C8, C9, C13, C14, C15, C16, C17, C18, C20, C21",CAP ALUM 0.1UF 20% 50V SMD
691313510002,691313510002,2,"BRAZO, POWER",TERM BLOCK HDR 2POS 90DEG 5.08MM
691313510003,691313510003,3,"RGB1, RGB 2, SENSOR",TERM BLOCK HDR 3POS 90DEG 5.08MM
amplificador de audio,MODULE5B,1,AMPLI1,
2200uF,Capacitor,1,C25,Polarized Capacitor (Radial)
1uF,CAP_0805,1,C28,Capacitor
0.1uF,CAP_0805,8,"C1, C2, C3, C10, C11, C12, C19, C29",Capacitor
DR127-470-R,PCBComponent_1,7,"L1, L2, L3, L4, L5, L6, L7",FIXED IND 47UH 2.95A 71.9 mOHM
Header 8,HDR1X8,2,"CONECTOR1, CONECTOR2","Header, 8-Pin"
Jack de audio j128,jack_audio,1,jACK AUDIO1,
LED1,LED-1,1,LED1,Typical RED GaAs LED
LM2596S-3.3,TO170P1435X465-6N,7,"U1, U2, U3, U4, U5, U6, U7",IC REG BUCK 3.3V 3A TO263-5
TIP31C,throwhole,1,Q1,Complementary Silicon Plastic Power Transistor
Res_0805,RES_0805,16,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16",Resistor
SS34,DIOM4336X244N_SS54B(Primary),7,"D1, D2, D3, D4, D5, D6, D7",SMD Diode Schottky 28V-5A
TMP36GT9Z,ADI-T-3,1,LMT86,"Low Voltage Temperature Sensor, 2.7 to 5.5 V Supply, Industrial, 3-pin TO92 (T-3), Tray"
3k3,RES_0805,7,r1 r2 r3 r7 r8 r9 r13,
1k,RES_0805,7,r4 r5 r6 r10 r11 r12 r14 ,
330R,RES_0805,2,r15 r16,
,,,,
Comment,Pattern,Quantity,Components,
,,,,
,DIP-20,1,GSM1,
,HDR1X8,1,MP1,"Header, 8-Pin"
,SOP65P780X200-28N,1,FTDI1,
,SOT125P1000X210-6N,9,"OPTO1, OPTO2, OPTO3, OPTO4, OPTO5, OPTO6, OPTO7, OPTO8, OPTO9",
0.1uF,CAP_0805,15,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C13, C14, C16, C17",Capacitor
22uF,,2,"C12,C15",
Header 8,HDR1X8,1,COMUCACION PLACAS,"Header, 8-Pin"
LD1117-SOT223,SOT223,1,Reg1,
NPN,SOT-23B_N,1,Q1,NPN Epitaxial Silicon Transistor
pin headers 2mm,DIP-20,2,"Xbee comunicacion1, Xbee programacion1",
Res_0805,RES_0805,12,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12",Resistor
Header 2.54,RTC,1,RTC,
Teensy,Teensy3.6-edgeonly,1,Teensy1,
1k,RES_0805,3,R1 r7 r9,
330R,RES_0805,9,"R2,R3,r4r5r6r8r10r11r12",
